Wall time,Step,Value
1499921286.498204,40,16.82383155822754
1499921363.494475,60,12.30856990814209
1499921402.098039,70,13.410510063171387
1499921440.910905,80,10.17520523071289
1499921479.575831,90,10.276782989501953
1499921518.337008,100,8.939828872680664
1499921556.85663,110,8.70606803894043
1499921595.455087,120,12.312604904174805
1499921634.126595,130,8.93376636505127
1499921827.345667,180,8.899894714355469
1499921866.225354,190,9.246648788452148
1499921906.201867,200,9.58434772491455
1499921944.776125,210,8.206543922424316
1499921983.378976,220,9.620389938354492
1499922021.979798,230,9.558923721313477
1499922060.82243,240,7.943353176116943
1499922099.614122,250,8.87057876586914
1499922138.336068,260,9.112554550170898
1499922215.371238,280,8.940878868103027
1499922292.756958,300,8.301451683044434
1499922447.579709,340,8.947229385375977
1499922486.460277,350,8.841604232788086
1499922524.97222,360,8.145339965820312
1499922563.576342,370,9.332484245300293
1499922602.176245,380,8.20877456665039
1499922640.727873,390,8.720877647399902
1499922680.654749,400,8.337930679321289
1499922719.697999,410,8.123307228088379
1499922758.364431,420,8.514005661010742
1499922796.960076,430,8.791223526000977
1499922874.084355,450,7.932978630065918
1499922912.728352,460,7.982132911682129
1499922951.588084,470,9.402871131896973
1499922990.105986,480,8.779584884643555
1499923028.642433,490,8.696043014526367
1499923067.232432,500,8.737861633300781
1499923144.684965,520,8.31907844543457
1499923222.294725,540,8.062850952148438
1499923261.130966,550,8.477506637573242
1499923299.658367,560,7.456441879272461
1499923338.296704,570,8.711504936218262
1499923377.037812,580,8.704952239990234
1499923415.807852,590,8.456058502197266
1499923456.016778,600,9.042858123779297
1499923494.554636,610,7.9791412353515625
1499923880.804104,710,8.151366233825684
1499923919.544679,720,8.76792049407959
1499923996.707064,740,8.743511199951172
1499924151.013361,780,8.957937240600586
1499924229.774099,800,8.336552619934082
1499924306.897754,820,7.69625997543335
1499924345.459985,830,7.485208511352539
1499924384.14569,840,8.146991729736328
1499924422.895043,850,8.160966873168945
1499924461.373188,860,9.217034339904785
1499924538.325703,880,7.727653503417969
1499924576.992875,890,8.673016548156738
1499924615.545369,900,8.989129066467285
1499924654.334667,910,7.888333320617676
1499924693.018085,920,8.369967460632324
1499924731.831409,930,8.814637184143066
1499924809.015865,950,8.332939147949219
1499924847.707271,960,7.5169806480407715
1499924963.122128,990,8.92594051361084
1499925042.644842,1010,7.955294609069824
1499925081.812798,1020,8.458597183227539
1499925120.27088,1030,8.15540885925293
1499925236.238487,1060,8.26396369934082
1499925274.753618,1070,7.723937034606934
1499925313.376429,1080,8.06705093383789
1499925352.062061,1090,7.380290508270264
1499925390.55687,1100,8.092500686645508
1499925545.36421,1140,7.878379821777344
1499925584.008054,1150,7.848833084106445
1499925661.260315,1170,7.587488174438477
1499925738.519607,1190,7.994070529937744
1499925894.747289,1230,7.892593860626221
1499925933.519283,1240,8.026712417602539
1499925972.041068,1250,8.99814510345459
1499926049.2813,1270,7.531882286071777
1499926164.978905,1300,7.929074287414551
1499926242.525344,1320,7.277010917663574
1499926281.201905,1330,7.559948921203613
1499926320.000807,1340,7.682000160217285
1499926397.299109,1360,7.132152557373047
1499926474.74974,1380,7.284578323364258
1499926513.239712,1390,7.239725112915039
1499926553.131639,1400,7.183816432952881
1499926591.74497,1410,7.678307056427002
1499926630.219517,1420,7.2160139083862305
1499926668.774475,1430,7.052594184875488
1499926784.471618,1460,7.833696365356445
1499926823.143038,1470,7.459412574768066
1499926861.708818,1480,7.1150617599487305
1499926938.832238,1500,7.713855743408203
1499926977.601468,1510,7.50956916809082
1499927016.189965,1520,9.3243989944458
1499927093.420262,1540,7.47382926940918
1499927131.9913,1550,7.543701171875
1499927170.600867,1560,7.444270133972168
1499927209.490712,1570,7.756653785705566
1499927248.230506,1580,7.067721366882324
1499927326.841424,1600,7.166153907775879
1499927365.488319,1610,7.284733772277832
1499927404.037791,1620,7.2171149253845215
1499927519.863644,1650,6.806377410888672
1499927596.993923,1670,7.239314079284668
1499927635.559898,1680,7.050690650939941
1499927674.520131,1690,6.932316780090332
1499927713.329237,1700,8.265237808227539
1499927752.241625,1710,7.154644966125488
1499927829.684466,1730,7.452935218811035
1499927907.289581,1750,6.634718894958496
1499927946.015746,1760,7.5799880027771
1499927984.580614,1770,7.6115803718566895
1499928023.171023,1780,7.503471851348877
1499928101.708298,1800,6.955610275268555
1499928140.290789,1810,7.085942268371582
1499928178.928817,1820,6.558130264282227
1499928217.514612,1830,8.062813758850098
1499928256.182816,1840,7.014459609985352
1499928294.834843,1850,7.013791084289551
1499928333.410769,1860,8.218108177185059
1499928372.020736,1870,6.941253185272217
1499928410.488423,1880,7.205291748046875
1499928449.042214,1890,7.132645606994629
1499928487.676268,1900,7.363237380981445
1499928526.292014,1910,7.295197486877441
1499928564.78103,1920,6.561141014099121
1499928603.221164,1930,6.626742839813232
1499928641.785202,1940,7.377631664276123
1499928680.642068,1950,6.694127082824707
1499928758.033714,1970,6.7215471267700195
1499928835.377415,1990,7.063268661499023
1499928875.401855,2000,9.069724082946777
1499928914.990815,2010,6.965181350708008
1499928953.512223,2020,6.34681510925293
1499929069.271953,2050,6.441551208496094
1499929108.038687,2060,6.937379837036133
1499929185.212877,2080,6.752714157104492
1499929262.490705,2100,6.905275344848633
1499929301.046505,2110,6.66610050201416
1499929339.930703,2120,6.656152248382568
1499929455.748794,2150,6.910909175872803
1499929494.241941,2160,6.216357707977295
1499929610.153956,2190,6.154357433319092
1499929650.084647,2200,6.599747180938721
1499929688.730569,2210,6.831252098083496
1499929727.459476,2220,6.826188087463379
1499929766.042079,2230,6.630367279052734
1499929804.567606,2240,6.540241241455078
1499929843.118972,2250,7.396324634552002
1499929958.773174,2280,6.048670291900635
1499930036.007939,2300,6.966087341308594
1499930074.696665,2310,6.942450523376465
1499930113.489975,2320,7.472109794616699
1499930153.758241,2330,6.286943435668945
1499930196.450882,2340,7.22369909286499
1499930280.880635,2360,6.465787887573242
1499930323.049901,2370,6.397124767303467
1499930364.611127,2380,6.843232154846191
1499930405.734163,2390,6.782859802246094
1499930449.417155,2400,6.392351150512695
1499930526.672616,2420,6.353682518005371
1499930565.316896,2430,6.6604461669921875
1499930604.041439,2440,6.662507057189941
1499930681.418024,2460,6.369321823120117
1499930720.184247,2470,6.565816402435303
1499930758.766421,2480,6.340916633605957
1499930797.365027,2490,6.68683385848999
1499930913.427508,2520,6.026400089263916
1499930990.974192,2540,6.268938064575195
1499931263.259565,2610,6.680620193481445
1499931340.693701,2630,5.953946590423584
1499931418.070224,2650,5.992520332336426
1499931611.167314,2700,6.135164737701416
1499931649.953066,2710,5.960790634155273
1499931766.101708,2740,6.399538516998291
1499931805.169263,2750,6.982113838195801
1499931843.811599,2760,6.002817153930664
1499931882.387768,2770,6.75330924987793
1499931921.036362,2780,6.036372184753418
1499931959.695929,2790,6.077393054962158
1499932038.481467,2810,6.144796371459961
1499932077.016008,2820,7.712080478668213
1499932193.072274,2850,6.244379043579102
1499932231.904768,2860,6.09778356552124
1499932309.01165,2880,5.912442207336426
1499932347.699732,2890,6.252876281738281
1499932386.169016,2900,6.753203392028809
1499932463.266144,2920,6.058104991912842
1499932501.818831,2930,6.622376441955566
1499932540.214461,2940,6.11667537689209
1499932578.865561,2950,6.333979606628418
1499932617.360112,2960,5.854434013366699
1499932656.027298,2970,5.96165657043457
1499932694.754013,2980,7.147443771362305
1499932733.303078,2990,5.912350177764893
1499932773.265676,3000,5.781410217285156
1499932812.907083,3010,6.533745765686035
1499932890.174156,3030,6.2656168937683105
1499932967.65934,3050,6.025336265563965
1499933006.516945,3060,6.071232795715332
1499933161.133516,3100,6.065550804138184
1499933199.658594,3110,6.017178058624268
1499933238.376117,3120,6.116959095001221
1499933277.092893,3130,6.780622482299805
1499933315.659615,3140,6.190746784210205
1499933354.246231,3150,5.542488098144531
1499933431.44726,3170,6.516740798950195
1499933469.882954,3180,5.42884635925293
1499933508.477734,3190,5.911476135253906
1499933548.371164,3200,6.71180534362793
1499933663.982333,3230,6.472410678863525
1499933702.774306,3240,5.932344436645508
1499933779.823099,3260,5.554823875427246
1499933857.085632,3280,5.421343803405762
1499933895.644895,3290,5.812206268310547
1499933972.837059,3310,5.330608367919922
1499934011.524141,3320,6.5913591384887695
1499934127.422398,3350,6.184390068054199
1499934166.152008,3360,5.680730819702148
1499934205.124356,3370,6.452784538269043
1499934282.224887,3390,6.015803337097168
1499934322.22152,3400,6.461420059204102
1499934361.055108,3410,6.196904182434082
1499934399.552327,3420,6.0190277099609375
1499934438.417339,3430,5.591864585876465
1499934476.918981,3440,5.505989074707031
1499934515.688463,3450,5.341115951538086
1499934554.292894,3460,5.648029327392578
1499934631.579221,3480,5.684937477111816
1499934670.693258,3490,5.6784868240356445
1499934748.074802,3510,5.400507926940918
1499934863.957672,3540,5.745734214782715
1499934902.865746,3550,6.125561714172363
1499934941.338876,3560,5.526759147644043
1499934980.053426,3570,5.424508571624756
1499935019.054481,3580,5.463414192199707
1499935097.601465,3600,5.924567699432373
1499935136.336201,3610,5.726100921630859
1499935213.563882,3630,6.199385643005371
1499935252.062221,3640,5.179252624511719
1499935290.876398,3650,5.5966901779174805
1499935368.01941,3670,5.310546398162842
1499935406.56465,3680,5.407791614532471
1499935445.260017,3690,5.475164890289307
1499935483.906661,3700,5.383743762969971
1499935522.473003,3710,5.467329978942871
1499935561.009928,3720,5.292738914489746
1499935599.66716,3730,6.347389221191406
1499935677.078028,3750,5.395047187805176
1499935715.999047,3760,5.899110794067383
1499935754.463223,3770,5.674262046813965
1499935793.085038,3780,5.684914588928223
1499935871.512651,3800,6.130528926849365
1499935910.165664,3810,5.6800432205200195
1499935987.902283,3830,5.51237678527832
1499936026.368654,3840,5.4617486000061035
1499936064.907116,3850,5.0203657150268555
1499936103.665738,3860,5.498149871826172
1499936142.47235,3870,5.803408622741699
1499936180.950434,3880,5.657669544219971
1499936335.411341,3920,5.112252235412598
1499936373.896152,3930,5.576387882232666
1499936451.58198,3950,5.213558197021484
1499936490.10454,3960,5.118150234222412
1499936567.157209,3980,5.598859786987305
1499936605.761768,3990,5.563601493835449
1499936645.752407,4000,4.987656593322754
1499936685.40307,4010,5.1317362785339355
1499936724.207398,4020,5.1981611251831055
1499936762.66694,4030,5.475377082824707
1499936801.357681,4040,5.479959487915039
1499936840.039998,4050,5.503154277801514
1499936879.013839,4060,5.128159523010254
1499936917.653215,4070,5.347216606140137
1499937033.541795,4100,5.129590034484863
1499937110.762288,4120,5.986406326293945
1499937188.181181,4140,5.132547855377197
1499937265.373548,4160,5.774899482727051
1499937303.992058,4170,5.738353729248047
1499937342.475065,4180,5.360812187194824
1499937381.108262,4190,5.396505355834961
1499937459.485923,4210,4.98798942565918
1499937536.741377,4230,5.269869804382324
1499937613.989334,4250,5.27010440826416
1499937652.720466,4260,5.569129943847656
1499937691.323461,4270,5.585827827453613
1499937729.821666,4280,5.240741729736328
1499937768.52201,4290,5.295253276824951
1499937807.055528,4300,4.985393524169922
1499937884.377406,4320,5.6537957191467285
1499937923.027523,4330,5.100643634796143
1499937961.489295,4340,5.639620780944824
1499938000.155311,4350,5.133635520935059
1499938039.018683,4360,5.726230621337891
1499938077.569758,4370,5.115283966064453
1499938154.743569,4390,5.2389984130859375
1499938194.685449,4400,5.054830551147461
1499938233.32269,4410,5.35518741607666
1499938349.05033,4440,6.787178039550781
1499938387.535663,4450,5.439828395843506
1499938464.825772,4470,5.329878807067871
1499938503.558913,4480,5.621040344238281
1499938581.11913,4500,5.245802402496338
1499938696.642093,4530,5.280117988586426
1499938773.813245,4550,4.95344352722168
1499938812.425807,4560,4.898861885070801
1499938851.100973,4570,4.96943473815918
1499938889.590993,4580,5.268617153167725
1499939006.979596,4610,5.344985008239746
1499939122.726676,4640,5.0440778732299805
1499939199.932677,4660,4.784614562988281
1499939238.354586,4670,5.218734264373779
1499939277.159668,4680,5.102781295776367
1499939354.49688,4700,4.71363639831543
1499939431.590957,4720,5.350962162017822
1499939470.145653,4730,4.83888053894043
1499939508.684627,4740,4.896421432495117
1499939624.667777,4770,5.185298442840576
1499939663.37014,4780,4.966668128967285
1499939702.003431,4790,4.811981201171875
1499939741.878207,4800,5.067416191101074
1499939819.304636,4820,5.586614608764648
1499939858.198134,4830,5.3458428382873535
1499939896.810002,4840,4.919986724853516
1499939974.016729,4860,4.919943332672119
1499940012.547764,4870,5.022722244262695
1499940051.044762,4880,5.037504196166992
1499940089.519489,4890,5.056063652038574
1499940166.685425,4910,4.743934631347656
1499940244.30299,4930,5.5429205894470215
1499940282.760323,4940,5.125069618225098
1499940399.552334,4970,4.896173477172852
1499940477.026202,4990,4.786334991455078
1499940517.516907,5000,5.008845329284668
1499940558.065151,5010,5.048022270202637
1499940674.819781,5040,5.184927940368652
1499940713.981695,5050,4.845664024353027
1499940752.89526,5060,5.594075679779053
1499940791.62681,5070,4.89474630355835
1499940830.240818,5080,4.9673309326171875
1499940868.882105,5090,5.719144821166992
1499940907.688261,5100,4.910732269287109
1499940946.354108,5110,4.978951454162598
1499940985.091377,5120,4.587625503540039
1499941023.645867,5130,5.150529861450195
1499941062.333011,5140,4.791047096252441
1499941101.206574,5150,4.795745849609375
1499941217.257768,5180,4.757851600646973
1499941255.767863,5190,4.662389755249023
1499941295.738238,5200,4.655529975891113
1499941334.595057,5210,5.603583335876465
1499941373.093371,5220,5.136172771453857
1499941411.952306,5230,5.245736122131348
1499941450.727413,5240,4.935683250427246
1499941489.46877,5250,5.011345386505127
1499941527.990377,5260,4.84335994720459
1499941643.835734,5290,4.671597003936768
1499941721.228917,5310,5.255484580993652
1499941759.796462,5320,4.667428016662598
1499941875.748429,5350,5.24909782409668
1499941952.813469,5370,5.582930564880371
1499941991.536494,5380,4.838051795959473
1499942070.311063,5400,4.796382427215576
1499942147.545013,5420,4.580677032470703
1499942225.082768,5440,4.571629524230957
1499942340.993774,5470,5.251016616821289
1499942379.498291,5480,4.981732368469238
1499942418.26311,5490,5.325336933135986
1499942456.84289,5500,4.9872822761535645
1499942495.633611,5510,4.967756271362305
1499942534.523505,5520,4.793217658996582
1499942573.258229,5530,5.077553749084473
1499942611.748055,5540,4.969858169555664
1499942650.250776,5550,4.543425559997559
1499942688.754004,5560,4.6365790367126465
1499942727.276254,5570,4.937869548797607
1499942766.116914,5580,5.037304878234863
1499942804.630895,5590,5.09098482131958
1499942844.690074,5600,4.996538162231445
1499942883.274519,5610,5.267185688018799
1499942960.612547,5630,4.898509979248047
1499942999.09007,5640,4.638761043548584
1499943037.58642,5650,4.838217258453369
1499943115.148958,5670,5.019757270812988
1499943153.597715,5680,4.768186569213867
1499943192.120018,5690,4.720183372497559
1499943308.110699,5720,4.754012107849121
1499943347.025813,5730,4.507582664489746
1499943385.598967,5740,4.9405517578125
1499943501.426013,5770,5.123985290527344
1499943540.045795,5780,5.080427646636963
1499943618.77129,5800,4.988953590393066
1499943657.336933,5810,4.72590446472168
1499943695.783824,5820,4.892979621887207
1499943850.426844,5860,4.785491943359375
1499943889.088158,5870,4.685283660888672
1499943966.885724,5890,4.6762285232543945
1499944005.657864,5900,4.569554805755615
1499944082.910218,5920,4.537650108337402
1499944121.543065,5930,4.702303886413574
1499944198.438053,5950,4.673198699951172
1499944313.98953,5980,4.5736823081970215
1499944352.690657,5990,4.823594093322754
1499944392.786108,6000,4.789305686950684
1499944471.170496,6020,4.316216468811035
1499944509.861058,6030,4.893398284912109
1499944587.112965,6050,4.511280536651611
1499944625.712919,6060,4.412125110626221
1499944664.296946,6070,4.713974952697754
1499944702.981969,6080,4.730316162109375
1499944741.585407,6090,5.148025035858154
1499944780.016558,6100,4.698007583618164
1499944857.228197,6120,4.698941230773926
1499944896.116124,6130,4.343189239501953
