Wall time,Step,Value
1499921286.498204,40,0.12925201654434204
1499921363.494475,60,0.0911540687084198
1499921402.098039,70,0.07532946765422821
1499921440.910905,80,0.07919254899024963
1499921479.575831,90,0.07196332514286041
1499921518.337008,100,0.0804176777601242
1499921556.85663,110,0.09039723873138428
1499921595.455087,120,0.06011947989463806
1499921634.126595,130,0.0631994754076004
1499921827.345667,180,0.07573406398296356
1499921866.225354,190,0.062112968415021896
1499921906.201867,200,0.07259872555732727
1499921944.776125,210,0.07046321034431458
1499921983.378976,220,0.06669643521308899
1499922021.979798,230,0.06944085657596588
1499922060.82243,240,0.07029875367879868
1499922099.614122,250,0.06694196909666061
1499922138.336068,260,0.06545461714267731
1499922215.371238,280,0.07093159109354019
1499922292.756958,300,0.06684943288564682
1499922447.579709,340,0.08041667938232422
1499922486.460277,350,0.07644601166248322
1499922524.97222,360,0.06889975070953369
1499922563.576342,370,0.07262158393859863
1499922602.176245,380,0.07678595185279846
1499922640.727873,390,0.07988342642784119
1499922680.654749,400,0.07208236306905746
1499922719.697999,410,0.07648739963769913
1499922758.364431,420,0.08362214267253876
1499922796.960076,430,0.09544601291418076
1499922874.084355,450,0.07270853221416473
1499922912.728352,460,0.07582758367061615
1499922951.588084,470,0.08280092477798462
1499922990.105986,480,0.0863143727183342
1499923028.642433,490,0.07935553044080734
1499923067.232432,500,0.07422206550836563
1499923144.684965,520,0.0726257860660553
1499923222.294725,540,0.07898931205272675
1499923261.130966,550,0.08499857783317566
1499923299.658367,560,0.09453234076499939
1499923338.296704,570,0.08220236748456955
1499923377.037812,580,0.08285368233919144
1499923415.807852,590,0.09480888396501541
1499923456.016778,600,0.08889086544513702
1499923494.554636,610,0.08282685279846191
1499923880.804104,710,0.09054446965456009
1499923919.544679,720,0.09639428555965424
1499923996.707064,740,0.0971464067697525
1499924151.013361,780,0.09151159226894379
1499924229.774099,800,0.10812042653560638
1499924306.897754,820,0.10874880850315094
1499924345.459985,830,0.09989859163761139
1499924384.14569,840,0.10411068797111511
1499924422.895043,850,0.10314813256263733
1499924461.373188,860,0.09488165378570557
1499924538.325703,880,0.11628071963787079
1499924576.992875,890,0.10717669874429703
1499924615.545369,900,0.11079254746437073
1499924654.334667,910,0.10025657713413239
1499924693.018085,920,0.1123441606760025
1499924731.831409,930,0.10143835097551346
1499924809.015865,950,0.1134500503540039
1499924847.707271,960,0.12489278614521027
1499924963.122128,990,0.13736316561698914
1499925042.644842,1010,0.11608818173408508
1499925081.812798,1020,0.11594375967979431
1499925120.27088,1030,0.1191212460398674
1499925236.238487,1060,0.13368958234786987
1499925274.753618,1070,0.13355296850204468
1499925313.376429,1080,0.13240325450897217
1499925352.062061,1090,0.14124378561973572
1499925390.55687,1100,0.1434842348098755
1499925545.36421,1140,0.1364833265542984
1499925584.008054,1150,0.13758960366249084
1499925661.260315,1170,0.14535634219646454
1499925738.519607,1190,0.14496581256389618
1499925894.747289,1230,0.1530669629573822
1499925933.519283,1240,0.1552981436252594
1499925972.041068,1250,0.14966489374637604
1499926049.2813,1270,0.15800388157367706
1499926164.978905,1300,0.15249928832054138
1499926242.525344,1320,0.15261411666870117
1499926281.201905,1330,0.1583389937877655
1499926320.000807,1340,0.15524379909038544
1499926397.299109,1360,0.15399765968322754
1499926474.74974,1380,0.15957367420196533
1499926513.239712,1390,0.16710412502288818
1499926553.131639,1400,0.15104946494102478
1499926591.74497,1410,0.18076422810554504
1499926630.219517,1420,0.1835542917251587
1499926668.774475,1430,0.1545790433883667
1499926784.471618,1460,0.17795896530151367
1499926823.143038,1470,0.16585738956928253
1499926861.708818,1480,0.16827750205993652
1499926938.832238,1500,0.16889740526676178
1499926977.601468,1510,0.17727331817150116
1499927016.189965,1520,0.16665074229240417
1499927093.420262,1540,0.1848333477973938
1499927131.9913,1550,0.1695818156003952
1499927170.600867,1560,0.16966482996940613
1499927209.490712,1570,0.17401497066020966
1499927248.230506,1580,0.1872486025094986
1499927326.841424,1600,0.17419371008872986
1499927365.488319,1610,0.1634971648454666
1499927404.037791,1620,0.19815722107887268
1499927519.863644,1650,0.18360082805156708
1499927596.993923,1670,0.19720600545406342
1499927635.559898,1680,0.18763726949691772
1499927674.520131,1690,0.19246463477611542
1499927713.329237,1700,0.19928885996341705
1499927752.241625,1710,0.18967598676681519
1499927829.684466,1730,0.19884711503982544
1499927907.289581,1750,0.20046596229076385
1499927946.015746,1760,0.19212070107460022
1499927984.580614,1770,0.1887282431125641
1499928023.171023,1780,0.2149021178483963
1499928101.708298,1800,0.20284157991409302
1499928140.290789,1810,0.20923469960689545
1499928178.928817,1820,0.18308895826339722
1499928217.514612,1830,0.2175513207912445
1499928256.182816,1840,0.20222236216068268
1499928294.834843,1850,0.20484532415866852
1499928333.410769,1860,0.2085786610841751
1499928372.020736,1870,0.18889743089675903
1499928410.488423,1880,0.18796652555465698
1499928449.042214,1890,0.19040164351463318
1499928487.676268,1900,0.20632019639015198
1499928526.292014,1910,0.19383099675178528
1499928564.78103,1920,0.19343575835227966
1499928603.221164,1930,0.19951514899730682
1499928641.785202,1940,0.22476032376289368
1499928680.642068,1950,0.1910184621810913
1499928758.033714,1970,0.22419612109661102
1499928835.377415,1990,0.1984141618013382
1499928875.401855,2000,0.21721124649047852
1499928914.990815,2010,0.1810552477836609
1499928953.512223,2020,0.18188245594501495
1499929069.271953,2050,0.1863369643688202
1499929108.038687,2060,0.19040125608444214
1499929185.212877,2080,0.20427605509757996
1499929262.490705,2100,0.21647478640079498
1499929301.046505,2110,0.2150690108537674
1499929339.930703,2120,0.22162212431430817
1499929455.748794,2150,0.19980253279209137
1499929494.241941,2160,0.17508465051651
1499929610.153956,2190,0.19987374544143677
1499929650.084647,2200,0.21410530805587769
1499929688.730569,2210,0.21207305788993835
1499929727.459476,2220,0.2184298038482666
1499929766.042079,2230,0.22002774477005005
1499929804.567606,2240,0.19395573437213898
1499929843.118972,2250,0.2205697000026703
1499929958.773174,2280,0.21301472187042236
1499930036.007939,2300,0.19920095801353455
1499930074.696665,2310,0.2100439816713333
1499930113.489975,2320,0.18131549656391144
1499930153.758241,2330,0.21301960945129395
1499930196.450882,2340,0.21115583181381226
1499930280.880635,2360,0.19781073927879333
1499930323.049901,2370,0.20305819809436798
1499930364.611127,2380,0.2070848047733307
1499930405.734163,2390,0.23067784309387207
1499930449.417155,2400,0.20597118139266968
1499930526.672616,2420,0.21044692397117615
1499930565.316896,2430,0.20714691281318665
1499930604.041439,2440,0.21891731023788452
1499930681.418024,2460,0.19458115100860596
1499930720.184247,2470,0.21340230107307434
1499930758.766421,2480,0.21954947710037231
1499930797.365027,2490,0.20718826353549957
1499930913.427508,2520,0.20424869656562805
1499930990.974192,2540,0.2154044508934021
1499931263.259565,2610,0.2199765145778656
1499931340.693701,2630,0.2117355912923813
1499931418.070224,2650,0.22997751832008362
1499931611.167314,2700,0.18732932209968567
1499931649.953066,2710,0.20367610454559326
1499931766.101708,2740,0.2096158266067505
1499931805.169263,2750,0.20458155870437622
1499931843.811599,2760,0.20203706622123718
1499931882.387768,2770,0.19491861760616302
1499931921.036362,2780,0.19813205301761627
1499931959.695929,2790,0.18532778322696686
1499932038.481467,2810,0.21440008282661438
1499932077.016008,2820,0.18976271152496338
1499932193.072274,2850,0.19874466955661774
1499932231.904768,2860,0.21243807673454285
1499932309.01165,2880,0.18953317403793335
1499932347.699732,2890,0.1904744654893875
1499932386.169016,2900,0.18879029154777527
1499932463.266144,2920,0.19202187657356262
1499932501.818831,2930,0.2055661976337433
1499932540.214461,2940,0.19624745845794678
1499932578.865561,2950,0.2104642540216446
1499932617.360112,2960,0.19676153361797333
1499932656.027298,2970,0.20917034149169922
1499932694.754013,2980,0.21341919898986816
1499932733.303078,2990,0.20009733736515045
1499932773.265676,3000,0.1953749805688858
1499932812.907083,3010,0.20616915822029114
1499932890.174156,3030,0.20342504978179932
1499932967.65934,3050,0.19945427775382996
1499933006.516945,3060,0.19084841012954712
1499933161.133516,3100,0.19486956298351288
1499933199.658594,3110,0.21551339328289032
1499933238.376117,3120,0.21450385451316833
1499933277.092893,3130,0.20690688490867615
1499933315.659615,3140,0.19935861229896545
1499933354.246231,3150,0.16582760214805603
1499933431.44726,3170,0.20827728509902954
1499933469.882954,3180,0.20619098842144012
1499933508.477734,3190,0.20556534826755524
1499933548.371164,3200,0.2026124894618988
1499933663.982333,3230,0.20080918073654175
1499933702.774306,3240,0.195784330368042
1499933779.823099,3260,0.20275232195854187
1499933857.085632,3280,0.17702063918113708
1499933895.644895,3290,0.21947574615478516
1499933972.837059,3310,0.1915006935596466
1499934011.524141,3320,0.17522433400154114
1499934127.422398,3350,0.1857897788286209
1499934166.152008,3360,0.19333362579345703
1499934205.124356,3370,0.21022994816303253
1499934282.224887,3390,0.1858149617910385
1499934322.22152,3400,0.19330596923828125
1499934361.055108,3410,0.20379000902175903
1499934399.552327,3420,0.18865811824798584
1499934438.417339,3430,0.19252431392669678
1499934476.918981,3440,0.19071893393993378
1499934515.688463,3450,0.1818845570087433
1499934554.292894,3460,0.19523964822292328
1499934631.579221,3480,0.20638684928417206
1499934670.693258,3490,0.19989748299121857
1499934748.074802,3510,0.2014235258102417
1499934863.957672,3540,0.19973386824131012
1499934902.865746,3550,0.18605580925941467
1499934941.338876,3560,0.18923130631446838
1499934980.053426,3570,0.2044616937637329
1499935019.054481,3580,0.1971907615661621
1499935097.601465,3600,0.177595317363739
1499935136.336201,3610,0.21683332324028015
